,Id,Immobilisations incorporelles,Immobilisations corporelles,Actifs financiers non courants,Stocks et travaux en-cours,Créances clients et comptes rattachés,Trésorerie et équivalents de trésorerie,Total actif,Capitaux propres,Provisions pour risques et charges non courantes,Dettes financières non courantes,Dettes financières courantes,Fournisseurs et comptes rattaches,Total passif,Chiffre d'affaires,Produits des activités ordinaires,Résultat opérationnel,Coût de l'endettement financier net,Quote part resultats des Sociétés Mises en Equivalence,RN des activités abandonnées,Résultat net
1054,1055,2641000.0,0.0,6558000.0,,2130000.0,830200.0,43666500.0,5434000,274900.0,5564000.0,1032000.0,12494.0,43666500.0,0,0,0,0,0,0,0
1055,1056,2268000.0,7738000.0,6533000.0,,2067000.0,1277500.0,41977100.0,5801000,245600.0,5659000.0,401000.0,7200.0,41977100.0,5 424 930,36 843,175,53 000,-1 944,264,32 448
1056,1057,1647000.0,8731000.0,6973000.0,,2079000.0,83966.0,113937000.0,6007000,1659.0,6870000.0,65888.0,1928000.0,113937000.0,5 723 135,35 129,1 968,47 000,2 675,0,30 555
1057,1058,23.0,8718000.0,9671.0,,941000.0,120372.0,115198000.0,4213000,956.0,5691000.0,159227.0,1817000.0,115198000.0,6 192 408,85 819,3 794,46 000,0,28 980,31 024
1058,1059,27.0,7642000.0,3475.0,,23241.0,202550.0,114409000.0,303527,586.0,740511.0,29794.0,1824000.0,114409000.0,6 414 000,84 736,9 997,37 000,0,-8 082,26 900
1059,1060,18.0,10343.0,1129.0,,17309.0,0.0,110095000.0,291728,0.0,755084.0,0.0,941000.0,110095000.0,0,0,0,0,0,0,0
1060,1061,8.0,12148.0,1566.0,,40642.0,10352.0,851481.0,285036,8520000.0,893582.0,49283.0,4946.0,851481.0,1 739,2 563 464,1 186 400,15 569,3 436,0,737 400
1061,1062,1181000.0,11787.0,260000.0,,42308.0,23448.0,1296693.0,309296,8594000.0,1675950.0,100881.0,4699.0,1296693.0,1 701,2 582 465,1 303 700,17 829,2 458,0,1 027 900
1062,1063,1259000.0,11718.0,276000.0,,1115000.0,35144.0,1256289.0,2420000,9487000.0,2250000.0,167670.0,22302.0,1256289.0,1 571,2 739 993,1 335 000,17 997,2 927,0,1 146 400
1063,1064,1475000.0,2464000.0,293000.0,,1247000.0,66410.0,1605299.0,1865000,8614000.0,2246000.0,0.0,22617.0,1605299.0,0,2 805 162,809 000,18 115,3 278,0,491 900
